,true_labels,predicted_labels
13514,4,4
6409,4,4
5096,2,2
11361,4,4
5053,2,3
10865,4,4
18376,9,1
14159,4,20
12849,4,4
13850,4,4
20738,16,16
17253,9,7
21213,18,4
16242,8,1
9284,4,4
3165,1,1
6887,4,11
8124,4,4
2195,1,1
22895,23,4
12706,4,4
15142,4,4
10366,4,4
21581,20,22
21680,20,1
7944,4,4
5219,2,9
12981,4,4
16324,8,1
7861,4,4
11393,4,23
12526,4,4
280,0,12
11193,4,4
14483,4,4
21817,20,20
16520,8,20
3689,1,1
22653,23,23
6223,3,13
2061,1,20
10984,4,4
4771,2,4
13775,4,15
12571,4,4
12366,4,4
3027,1,1
2173,1,1
8099,4,4
11305,4,4
13208,4,10
1765,1,22
3778,1,7
22772,23,16
1475,1,1
12131,4,4
11335,4,4
13190,4,4
23799,25,25
22670,23,2
8813,4,25
5975,2,2
23336,25,24
13027,4,4
19908,13,4
12111,4,4
199,0,4
15355,4,4
13764,4,4
11893,4,4
22541,23,21
14163,4,11
19068,11,2
283,0,21
3799,1,7
7779,4,4
9477,4,4
22404,22,20
10658,4,4
1580,1,1
16668,8,1
10185,4,4
16718,8,8
21152,18,11
13633,4,4
18660,10,12
18868,10,10
2602,1,1
13831,4,16
819,1,1
13462,4,15
17016,8,8
11961,4,4
19879,13,4
1456,1,8
12277,4,4
16318,8,1
4057,2,2
6508,4,4
18267,9,1
14134,4,25
10579,4,13
24055,25,25
23168,24,9
15322,4,4
1422,1,3
23568,25,25
13864,4,4
7072,4,20
5407,2,2
22593,23,23
14925,4,18
6400,4,11
7911,4,4
18316,9,9
10843,4,4
18292,9,1
23475,25,2
22236,22,4
5589,2,3
9338,4,4
18665,10,10
2434,1,13
3494,1,22
10034,4,4
19000,10,10
19172,11,25
18177,9,9
8973,4,4
18363,9,1
16146,8,10
4844,2,2
4384,2,4
20292,14,2
2009,1,3
18110,9,9
6844,4,4
10342,4,4
4275,2,2
18941,10,2
9809,4,4
4564,2,4
10495,4,21
16813,8,8
7375,4,11
14440,4,4
16511,8,8
7907,4,4
1113,1,1
12331,4,4
14874,4,4
4306,2,3
21557,20,20
18956,10,10
17013,8,8
11566,4,4
24151,26,2
9642,4,22
15027,4,4
6384,4,4
14470,4,11
19451,12,24
5114,2,4
10092,4,4
20226,13,15
17863,9,2
7307,4,2
16677,8,8
18830,10,10
147,0,24
11960,4,4
11892,4,4
428,1,2
19808,13,18
15159,4,4
11288,4,4
14885,4,4
21745,20,20
13371,4,4
16660,8,4
5100,2,24
23543,25,25
10144,4,7
3752,1,1
6612,4,4
14518,4,3
22225,22,17
7100,4,4
4630,2,2
681,1,1
6649,4,4
22119,21,25
23865,25,4
8769,4,4
18212,9,9
22839,23,4
5721,2,4
1190,1,4
8482,4,4
3658,1,13
21143,18,7
10189,4,4
15456,7,13
1122,1,13
3169,1,1
23777,25,4
9172,4,4
22655,23,2
10491,4,4
21997,21,20
17257,9,0
15583,7,8
12301,4,4
4821,2,2
7220,4,4
3402,1,21
18371,9,3
21064,18,18
14272,4,4
14073,4,4
19081,11,25
1045,1,24
16519,8,8
23655,25,1
12372,4,4
8760,4,8
23401,25,25
17411,9,4
12218,4,4
5211,2,11
2687,1,1
16863,8,8
4125,2,4
16190,8,8
20004,13,4
24124,25,10
17114,9,9
21304,20,20
20146,13,1
21189,18,4
12315,4,4
6775,4,4
2647,1,1
18674,10,11
14664,4,4
19762,13,4
2208,1,20
7729,4,4
423,1,24
19041,10,7
19227,11,4
18142,9,9
3172,1,1
20364,14,0
9138,4,4
10431,4,4
520,1,1
21057,18,25
15412,7,4
21292,20,20
19534,12,12
970,1,1
22455,22,20
14170,4,10
17861,9,4
10210,4,4
22770,23,23
8985,4,4
11290,4,3
21846,20,8
5815,2,2
4991,2,2
19325,11,11
23856,25,25
8541,4,4
15874,7,1
9871,4,4
6515,4,4
10192,4,4
14856,4,12
20033,13,4
2145,1,1
15771,7,17
4510,2,4
13294,4,11
23760,25,20
15571,7,0
10354,4,4
22309,22,22
23435,25,17
5144,2,2
19872,13,11
23514,25,25
22121,21,3
24016,25,7
11217,4,4
21287,20,17
8696,4,4
21236,19,9
15626,7,1
14667,4,9
6913,4,4
23872,25,25
10569,4,4
9520,4,4
19682,13,13
12633,4,2
20066,13,8
4417,2,2
250,0,13
19482,12,21
20579,15,2
6535,4,4
12836,4,4
23835,25,25
14533,4,24
16628,8,8
52,0,20
17213,9,4
4202,2,24
18867,10,10
18958,10,13
11051,4,16
12830,4,4
19188,11,4
17619,9,4
1873,1,1
8937,4,8
22432,22,1
1063,1,1
2505,1,1
13501,4,7
5528,2,2
16297,8,8
16291,8,17
8364,4,21
11342,4,4
6503,4,4
15277,4,4
9320,4,4
16635,8,13
3113,1,1
6134,3,21
4874,2,2
7811,4,4
10168,4,4
16437,8,1
5446,2,4
22308,22,24
9356,4,4
14253,4,4
16815,8,8
12049,4,7
18695,10,10
11997,4,25
6619,4,4
536,1,22
15003,4,4
17598,9,9
19034,10,11
3318,1,7
17238,9,9
18328,9,9
9263,4,4
17360,9,9
22846,23,21
21205,18,18
9295,4,4
16819,8,8
23706,25,20
12110,4,15
5593,2,2
4645,2,2
19158,11,3
23662,25,12
19878,13,13
4219,2,4
8878,4,4
23929,25,18
18325,9,9
7477,4,4
3000,1,1
21090,18,18
23035,24,0
19244,11,4
21794,20,17
17117,9,7
14960,4,4
13870,4,4
18076,9,8
7259,4,4
1644,1,1
7268,4,4
8687,4,4
22139,21,4
20092,13,4
6712,4,23
4290,2,4
21781,20,20
17528,9,9
8395,4,4
23715,25,7
2209,1,8
15495,7,15
7932,4,2
10673,4,17
928,1,1
22106,21,7
18912,10,22
18175,9,9
22730,23,3
2766,1,1
4605,2,12
2435,1,22
21316,20,20
2635,1,9
10422,4,18
20305,14,18
3702,1,1
22500,22,12
15962,7,8
21106,18,23
5665,2,2
5627,2,2
8704,4,13
4679,2,2
4936,2,4
9989,4,8
3884,1,1
3843,1,22
19302,11,18
13935,4,4
16951,8,8
23954,25,4
8731,4,18
6687,4,4
5351,2,12
5848,2,2
23970,25,20
8969,4,4
3418,1,21
10772,4,4
11356,4,13
11497,4,4
18013,9,1
10667,4,4
13888,4,2
8799,4,4
20483,15,4
17067,8,1
9849,4,8
22508,22,22
10918,4,4
17705,9,9
4404,2,2
10389,4,13
17947,9,9
10126,4,4
15040,4,4
11583,4,4
3780,1,23
19445,12,12
8487,4,15
22135,21,3
18700,10,1
7466,4,4
13340,4,4
15260,4,4
2004,1,1
16953,8,4
10266,4,17
8972,4,4
2166,1,1
5187,2,2
5437,2,2
1603,1,1
19460,12,24
1747,1,24
12010,4,4
16020,7,4
2559,1,1
5071,2,2
16387,8,8
8238,4,4
21519,20,20
8137,4,13
15970,7,7
3226,1,1
11012,4,4
8449,4,4
11458,4,4
19537,12,3
14115,4,4
7576,4,4
9325,4,4
16564,8,1
1346,1,8
516,1,1
18053,9,9
17897,9,9
10710,4,4
3448,1,22
21957,20,25
3578,1,1
20363,14,11
18633,10,10
23819,25,25
5148,2,4
7228,4,4
9237,4,4
5705,2,2
22585,23,2
1661,1,1
15073,4,4
6504,4,4
13316,4,4
6481,4,4
11666,4,4
4720,2,22
3125,1,10
17699,9,9
11802,4,2
4894,2,2
13133,4,4
2265,1,1
18261,9,9
21146,18,18
16162,8,8
3616,1,24
1457,1,1
16543,8,8
23840,25,20
6678,4,4
15342,4,4
3362,1,3
12691,4,13
4851,2,9
2714,1,1
127,0,4
10597,4,4
15447,7,17
15797,7,7
14881,4,4
9226,4,7
12346,4,4
20357,14,4
21259,20,20
12194,4,23
13505,4,4
6685,4,4
12637,4,4
8939,4,4
9992,4,4
1512,1,0
3813,1,17
19747,13,17
14576,4,4
14102,4,4
221,0,9
21346,20,7
8576,4,4
19716,13,4
14068,4,13
21165,18,4
22502,22,24
