,true_labels,predicted_labels
13514,4,4
6409,4,4
5096,2,2
11361,4,4
5053,2,2
10865,4,4
18376,9,9
14159,4,4
12849,4,4
13850,4,4
20738,16,16
17253,9,9
21213,18,18
16242,8,8
9284,4,4
3165,1,1
6887,4,4
8124,4,4
2195,1,1
22895,23,23
12706,4,4
15142,4,4
10366,4,4
21581,20,20
21680,20,20
7944,4,4
5219,2,2
12981,4,4
16324,8,8
7861,4,4
11393,4,4
12526,4,4
280,0,0
11193,4,4
14483,4,4
21817,20,20
16520,8,8
3689,1,1
22653,23,23
6223,3,3
2061,1,1
10984,4,4
4771,2,2
13775,4,4
12571,4,4
12366,4,4
3027,1,1
2173,1,1
8099,4,4
11305,4,4
13208,4,4
1765,1,1
3778,1,1
22772,23,23
1475,1,1
12131,4,4
11335,4,4
13190,4,4
23799,25,25
22670,23,23
8813,4,4
5975,2,2
23336,25,25
13027,4,4
19908,13,13
12111,4,4
199,0,0
15355,4,4
13764,4,4
11893,4,4
22541,23,23
14163,4,4
19068,11,11
283,0,0
3799,1,1
7779,4,4
9477,4,4
22404,22,22
10658,4,4
1580,1,1
16668,8,8
10185,4,4
16718,8,8
21152,18,18
13633,4,4
18660,10,10
18868,10,10
2602,1,1
13831,4,4
819,1,1
13462,4,4
17016,8,8
11961,4,4
19879,13,4
1456,1,1
12277,4,4
16318,8,8
4057,2,2
6508,4,4
18267,9,9
14134,4,4
10579,4,4
24055,25,25
23168,24,24
15322,4,4
1422,1,1
23568,25,25
13864,4,4
7072,4,4
5407,2,2
22593,23,23
14925,4,4
6400,4,4
7911,4,4
18316,9,9
10843,4,4
18292,9,9
23475,25,25
22236,22,22
5589,2,2
9338,4,4
18665,10,10
2434,1,1
3494,1,1
10034,4,4
19000,10,10
19172,11,11
18177,9,9
8973,4,4
18363,9,9
16146,8,8
4844,2,2
4384,2,2
20292,14,14
2009,1,1
18110,9,9
6844,4,4
10342,4,4
4275,2,2
18941,10,10
9809,4,4
4564,2,2
10495,4,4
16813,8,8
7375,4,4
14440,4,4
16511,8,8
7907,4,4
1113,1,1
12331,4,4
14874,4,4
4306,2,2
21557,20,20
18956,10,10
17013,8,8
11566,4,4
24151,26,26
9642,4,4
15027,4,4
6384,4,4
14470,4,4
19451,12,12
5114,2,2
10092,4,4
20226,13,13
17863,9,9
7307,4,4
16677,8,8
18830,10,10
147,0,0
11960,4,4
11892,4,4
428,1,1
19808,13,13
15159,4,4
11288,4,4
14885,4,4
21745,20,20
13371,4,4
16660,8,8
5100,2,2
23543,25,25
10144,4,4
3752,1,1
6612,4,4
14518,4,4
22225,22,22
7100,4,4
4630,2,2
681,1,1
6649,4,4
22119,21,21
23865,25,25
8769,4,4
18212,9,9
22839,23,23
5721,2,2
1190,1,1
8482,4,4
3658,1,1
21143,18,18
10189,4,4
15456,7,7
1122,1,1
3169,1,1
23777,25,25
9172,4,4
22655,23,23
10491,4,4
21997,21,21
17257,9,9
15583,7,7
12301,4,4
4821,2,2
7220,4,4
3402,1,1
18371,9,9
21064,18,18
14272,4,4
14073,4,4
19081,11,11
1045,1,1
16519,8,8
23655,25,25
12372,4,4
8760,4,4
23401,25,25
17411,9,9
12218,4,4
5211,2,2
2687,1,1
16863,8,8
4125,2,2
16190,8,8
20004,13,13
24124,25,25
17114,9,9
21304,20,20
20146,13,13
21189,18,18
12315,4,4
6775,4,4
2647,1,1
18674,10,10
14664,4,4
19762,13,13
2208,1,1
7729,4,4
423,1,1
19041,10,10
19227,11,11
18142,9,9
3172,1,1
20364,14,14
9138,4,4
10431,4,4
520,1,1
21057,18,18
15412,7,4
21292,20,20
19534,12,12
970,1,1
22455,22,22
14170,4,4
17861,9,9
10210,4,4
22770,23,23
8985,4,4
11290,4,4
21846,20,20
5815,2,2
4991,2,2
19325,11,11
23856,25,25
8541,4,4
15874,7,1
9871,4,4
6515,4,4
10192,4,4
14856,4,4
20033,13,13
2145,1,1
15771,7,7
4510,2,2
13294,4,4
23760,25,25
15571,7,7
10354,4,4
22309,22,22
23435,25,25
5144,2,2
19872,13,13
23514,25,25
22121,21,21
24016,25,25
11217,4,4
21287,20,20
8696,4,4
21236,19,19
15626,7,7
14667,4,4
6913,4,4
23872,25,25
10569,4,4
9520,4,4
19682,13,13
12633,4,4
20066,13,13
4417,2,2
250,0,0
19482,12,12
20579,15,15
6535,4,4
12836,4,4
23835,25,25
14533,4,4
16628,8,8
52,0,0
17213,9,9
4202,2,2
18867,10,10
18958,10,10
11051,4,4
12830,4,4
19188,11,11
17619,9,9
1873,1,1
8937,4,4
22432,22,22
1063,1,1
2505,1,1
13501,4,4
5528,2,2
16297,8,8
16291,8,8
8364,4,4
11342,4,4
6503,4,4
15277,4,4
9320,4,4
16635,8,8
3113,1,1
6134,3,3
4874,2,2
7811,4,4
10168,4,4
16437,8,8
5446,2,2
22308,22,22
9356,4,4
14253,4,4
16815,8,8
12049,4,4
18695,10,10
11997,4,4
6619,4,4
536,1,1
15003,4,4
17598,9,9
19034,10,10
3318,1,1
17238,9,9
18328,9,9
9263,4,4
17360,9,9
22846,23,23
21205,18,18
9295,4,4
16819,8,8
23706,25,25
12110,4,4
5593,2,2
4645,2,2
19158,11,11
23662,25,25
19878,13,13
4219,2,2
8878,4,4
23929,25,25
18325,9,9
7477,4,4
3000,1,1
21090,18,18
23035,24,24
19244,11,11
21794,20,20
17117,9,9
14960,4,4
13870,4,4
18076,9,9
7259,4,4
1644,1,1
7268,4,4
8687,4,4
22139,21,21
20092,13,13
6712,4,4
4290,2,2
21781,20,20
17528,9,9
8395,4,4
23715,25,25
2209,1,1
15495,7,7
7932,4,4
10673,4,4
928,1,1
22106,21,21
18912,10,10
18175,9,9
22730,23,23
2766,1,1
4605,2,2
2435,1,1
21316,20,20
2635,1,1
10422,4,4
20305,14,14
3702,1,1
22500,22,22
15962,7,7
21106,18,18
5665,2,2
5627,2,2
8704,4,4
4679,2,2
4936,2,4
9989,4,4
3884,1,1
3843,1,1
19302,11,11
13935,4,4
16951,8,8
23954,25,25
8731,4,4
6687,4,4
5351,2,2
5848,2,2
23970,25,25
8969,4,4
3418,1,1
10772,4,4
11356,4,4
11497,4,4
18013,9,9
10667,4,4
13888,4,4
8799,4,4
20483,15,15
17067,8,8
9849,4,4
22508,22,22
10918,4,4
17705,9,9
4404,2,2
10389,4,4
17947,9,9
10126,4,4
15040,4,4
11583,4,4
3780,1,1
19445,12,12
8487,4,4
22135,21,21
18700,10,10
7466,4,4
13340,4,4
15260,4,4
2004,1,1
16953,8,8
10266,4,4
8972,4,4
2166,1,1
5187,2,2
5437,2,2
1603,1,1
19460,12,12
1747,1,1
12010,4,4
16020,7,7
2559,1,1
5071,2,2
16387,8,8
8238,4,4
21519,20,20
8137,4,4
15970,7,7
3226,1,1
11012,4,4
8449,4,4
11458,4,4
19537,12,12
14115,4,4
7576,4,4
9325,4,4
16564,8,8
1346,1,1
516,1,1
18053,9,9
17897,9,9
10710,4,4
3448,1,1
21957,20,20
3578,1,1
20363,14,14
18633,10,10
23819,25,25
5148,2,2
7228,4,4
9237,4,4
5705,2,2
22585,23,23
1661,1,1
15073,4,4
6504,4,4
13316,4,4
6481,4,4
11666,4,4
4720,2,2
3125,1,1
17699,9,9
11802,4,4
4894,2,2
13133,4,4
2265,1,1
18261,9,9
21146,18,18
16162,8,8
3616,1,1
1457,1,1
16543,8,8
23840,25,25
6678,4,4
15342,4,4
3362,1,1
12691,4,4
4851,2,2
2714,1,1
127,0,0
10597,4,4
15447,7,7
15797,7,7
14881,4,4
9226,4,4
12346,4,4
20357,14,14
21259,20,20
12194,4,4
13505,4,4
6685,4,4
12637,4,4
8939,4,4
9992,4,4
1512,1,1
3813,1,1
19747,13,13
14576,4,4
14102,4,4
221,0,0
21346,20,20
8576,4,4
19716,13,13
14068,4,4
21165,18,18
22502,22,22
